Code,Description
CDC,"Cedar City, UT: Cedar City Regional"
CDV,"Cordova, AK: Merle K Mudhole Smith"
CGI,"Cape Girardeau, MO: Cape Girardeau Regional"
CHA,"Chattanooga, TN: Lovell Field"
CHO,"Charlottesville, VA: Charlottesville Albemarle"
CHS,"Charleston, SC: Charleston AFB/International"
CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
CIU,"Sault Ste. Marie, MI: Chippewa County International"
CKB,"Clarksburg/Fairmont, WV: North Central West Virginia"
CLE,"Cleveland, OH: Cleveland-Hopkins International"
CLL,"College Station/Bryan, TX: Easterwood Field"
CLT,"Charlotte, NC: Charlotte Douglas International"
CMH,"Columbus, OH: John Glenn Columbus International"
CMI,"Champaign/Urbana, IL: University of Illinois/Willard"
CMX,"Hancock/Houghton, MI: Houghton County Memorial"
CNY,"Moab, UT: Canyonlands Field"
COD,"Cody, WY: Yellowstone Regional"
COS,"Colorado Springs, CO: City of Colorado Springs Municipal"
COU,"Columbia, MO: Columbia Regional"
CPR,"Casper, WY: Casper/Natrona County International"
CRP,"Corpus Christi, TX: Corpus Christi International"
CRW,"Charleston/Dunbar, WV: Yeager"
CSG,"Columbus, GA: Columbus Airport"
CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
CWA,"Mosinee, WI: Central Wisconsin"
CYS,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field"
DAB,"Daytona Beach, FL: Daytona Beach International"
DAL,"Dallas, TX: Dallas Love Field"
DAY,"Dayton, OH: James M Cox/Dayton International"
DBQ,"Dubuque, IA: Dubuque Regional"
DCA,"Washington, DC: Ronald Reagan Washington National"
DEN,"Denver, CO: Denver International"
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
DHN,"Dothan, AL: Dothan Regional"
DLG,"Dillingham, AK: Dillingham Airport"
DLH,"Duluth, MN: Duluth International"
DRO,"Durango, CO: Durango La Plata County"
DRT,"Del Rio, TX: Del Rio International"
DSM,"Des Moines, IA: Des Moines International"
DTW,"Detroit, MI: Detroit Metro Wayne County"
DVL,"Devils Lake, ND: Devils Lake Regional"
EAR,"Kearney, NE: Kearney Regional"
EAU,"Eau Claire, WI: Chippewa Valley Regional"
ECP,"Panama City, FL: Northwest Florida Beaches International"
EGE,"Eagle, CO: Eagle County Regional"
EKO,"Elko, NV: Elko Regional"
ELM,"Elmira/Corning, NY: Elmira/Corning Regional"
ELP,"El Paso, TX: El Paso International"
ERI,"Erie, PA: Erie International/Tom Ridge Field"
ESC,"Escanaba, MI: Delta County"
EUG,"Eugene, OR: Mahlon Sweet Field"
EVV,"Evansville, IN: Evansville Regional"
EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional"
EWR,"Newark, NJ: Newark Liberty International"
EYW,"Key West, FL: Key West International"
FAI,"Fairbanks, AK: Fairbanks International"
FAR,"Fargo, ND: Hector International"
FAT,"Fresno, CA: Fresno Yosemite International"
FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field"
FCA,"Kalispell, MT: Glacier Park International"
FLG,"Flagstaff, AZ: Flagstaff Pulliam"
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
FLO,"Florence, SC: Florence Regional"
FNT,"Flint, MI: Bishop International"
FSD,"Sioux Falls, SD: Joe Foss Field"
FSM,"Fort Smith, AR: Fort Smith Regional"
FWA,"Fort Wayne, IN: Fort Wayne International"
GCC,"Gillette, WY: Gillette Campbell County"
GCK,"Garden City, KS: Garden City Regional"
GEG,"Spokane, WA: Spokane International"
GFK,"Grand Forks, ND: Grand Forks International"
GGG,"Longview, TX: East Texas Regional"
GJT,"Grand Junction, CO: Grand Junction Regional"
GNV,"Gainesville, FL: Gainesville Regional"
GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International"
GRB,"Green Bay, WI: Green Bay Austin Straubel International"
GRI,"Grand Island, NE: Central Nebraska Regional"
GRK,"Killeen, TX: Robert Gray AAF"
GRR,"Grand Rapids, MI: Gerald R. Ford International"
GSO,"Greensboro/High Point, NC: Piedmont Triad International"
GSP,"Greer, SC: Greenville-Spartanburg International"
GST,"Gustavus, AK: Gustavus Airport"
GTF,"Great Falls, MT: Great Falls International"
GTR,"Columbus, MS: Golden Triangle Regional"
GUC,"Gunnison, CO: Gunnison-Crested Butte Regional"
GUM,"Guam, TT: Guam International"
HDN,"Hayden, CO: Yampa Valley"
HGR,"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field"
HHH,"Hilton Head, SC: Hilton Head Airport"
HIB,"Hibbing, MN: Range Regional"
HLN,"Helena, MT: Helena Regional"
HNL,"Honolulu, HI: Daniel K Inouye International"
HOB,"Hobbs, NM: Lea County Regional"
HOU,"Houston, TX: William P Hobby"
HPN,"White Plains, NY: Westchester County"
HRL,"Harlingen/San Benito, TX: Valley International"
HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field"
HTS,"Ashland, WV: Tri-State/Milton J. Ferguson Field"
HVN,"New Haven, CT: Tweed New Haven"
HYA,"Hyannis, MA: Barnstable Municipal-Boardman/Polando Field"
HYS,"Hays, KS: Hays Regional"
IAD,"Washington, DC: Washington Dulles International"
IAG,"Niagara Falls, NY: Niagara Falls International"
IAH,"Houston, TX: George Bush Intercontinental/Houston"
ICT,"Wichita, KS: Wichita Dwight D Eisenhower National"
IDA,"Idaho Falls, ID: Idaho Falls Regional"
IFP,"Bullhead City, AZ: Laughlin/Bullhead International"
ILM,"Wilmington, NC: Wilmington International"
IMT,"Iron Mountain/Kingsfd, MI: Ford"
IND,"Indianapolis, IN: Indianapolis International"
INL,"International Falls, MN: Falls International Einarson Field"
ISN,"Williston, ND: Sloulin Field International"
ISP,"Islip, NY: Long Island MacArthur"
ITH,"Ithaca/Cortland, NY: Ithaca Tompkins Regional"
ITO,"Hilo, HI: Hilo International"
JAC,"Jackson, WY: Jackson Hole"
JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International"
JAX,"Jacksonville, FL: Jacksonville International"
JFK,"New York, NY: John F. Kennedy International"
JLN,"Joplin, MO: Joplin Regional"
JMS,"Jamestown, ND: Jamestown Regional"
JNU,"Juneau, AK: Juneau International"
KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole"
KTN,"Ketchikan, AK: Ketchikan International"
LAN,"Lansing, MI: Capital Region International"
LAR,"Laramie, WY: Laramie Regional"
LAS,"Las Vegas, NV: McCarran International"
LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional"
LAX,"Los Angeles, CA: Los Angeles International"
LBB,"Lubbock, TX: Lubbock Preston Smith International"
LBE,"Latrobe, PA: Arnold Palmer Regional"
LBF,"North Platte, NE: North Platte Regional Airport Lee Bird Field"
LBL,"Liberal, KS: Liberal Mid-America Regional"
LCH,"Lake Charles, LA: Lake Charles Regional"
LCK,"Columbus, OH: Rickenbacker International"
LEX,"Lexington, KY: Blue Grass"
LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field"
LGA,"New York, NY: LaGuardia"
LGB,"Long Beach, CA: Long Beach Airport"
LIH,"Lihue, HI: Lihue Airport"
LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
LNK,"Lincoln, NE: Lincoln Airport"
LRD,"Laredo, TX: Laredo International"
LSE,"La Crosse, WI: La Crosse Regional"
LWB,"Lewisburg, WV: Greenbrier Valley"
LWS,"Lewiston, ID: Lewiston Nez Perce County"
LYH,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field"
MAF,"Midland/Odessa, TX: Midland International Air and Space Port"
MBS,"Saginaw/Bay City/Midland, MI: MBS International"
MCI,"Kansas City, MO: Kansas City International"
MCO,"Orlando, FL: Orlando International"
MDT,"Harrisburg, PA: Harrisburg International"
MDW,"Chicago, IL: Chicago Midway International"
MEI,"Meridian, MS: Key Field"
MEM,"Memphis, TN: Memphis International"
MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International"
MFR,"Medford, OR: Rogue Valley International - Medford"
MGM,"Montgomery, AL: Montgomery Regional"
MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional"
MHT,"Manchester, NH: Manchester-Boston Regional"
MIA,"Miami, FL: Miami International"
MKE,"Milwaukee, WI: General Mitchell International"
MKG,"Muskegon, MI: Muskegon County"
MLB,"Melbourne, FL: Melbourne International"
MLI,"Moline, IL: Quad City International"
MLU,"Monroe, LA: Monroe Regional"
MMH,"Mammoth Lakes, CA: Mammoth Lakes Airport"
MOB,"Mobile, AL: Mobile Regional"
MOT,"Minot, ND: Minot International"
MQT,"Marquette, MI: Sawyer International"
MRY,"Monterey, CA: Monterey Regional"
MSN,"Madison, WI: Dane County Regional-Truax Field"
MSO,"Missoula, MT: Missoula International"
MSP,"Minneapolis, MN: Minneapolis-St Paul International"
MSY,"New Orleans, LA: Louis Armstrong New Orleans International"
MTJ,"Montrose/Delta, CO: Montrose Regional"
MVY,"Martha's Vineyard, MA: Martha's Vineyard Airport"
MYR,"Myrtle Beach, SC: Myrtle Beach International"
OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis"
OAK,"Oakland, CA: Metropolitan Oakland International"
OGD,"Ogden, UT: Ogden-Hinckley"
OGG,"Kahului, HI: Kahului Airport"
OGS,"Ogdensburg, NY: Ogdensburg International"
OKC,"Oklahoma City, OK: Will Rogers World"
OMA,"Omaha, NE: Eppley Airfield"
OME,"Nome, AK: Nome Airport"
ONT,"Ontario, CA: Ontario International"
ORD,"Chicago, IL: Chicago O'Hare International"
ORF,"Norfolk, VA: Norfolk International"
ORH,"Worcester, MA: Worcester Regional"
OTH,"North Bend/Coos Bay, OR: Southwest Oregon Regional"
OTZ,"Kotzebue, AK: Ralph Wien Memorial"
OWB,"Owensboro, KY: Owensboro Daviess County Regional"
PAH,"Paducah, KY: Barkley Regional"
PBG,"Plattsburgh, NY: Plattsburgh International"
PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International"
PDX,"Portland, OR: Portland International"
PGD,"Punta Gorda, FL: Punta Gorda Airport"
PGV,"Greenville, NC: Pitt Greenville"
PHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International"
PHL,"Philadelphia, PA: Philadelphia International"
PHX,"Phoenix, AZ: Phoenix Sky Harbor International"
PIA,"Peoria, IL: General Downing - Peoria International"
PIB,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional"
PIE,"St. Petersburg, FL: St Pete Clearwater International"
PIH,"Pocatello, ID: Pocatello Regional"
PIT,"Pittsburgh, PA: Pittsburgh International"
PLN,"Pellston, MI: Pellston Regional Airport of Emmet County"
PNS,"Pensacola, FL: Pensacola International"
PPG,"Pago Pago, TT: Pago Pago International"
PRC,"Prescott, AZ: Prescott Regional Ernest A Love Field"
PSC,"Pasco/Kennewick/Richland, WA: Tri Cities"
PSE,"Ponce, PR: Mercedita"
PSG,"Petersburg, AK: Petersburg James A Johnson"
PSM,"Portsmouth, NH: Portsmouth International at Pease"
PSP,"Palm Springs, CA: Palm Springs International"
PUB,"Pueblo, CO: Pueblo Memorial"
PVD,"Providence, RI: Theodore Francis Green State"
PVU,"Provo, UT: Provo Municipal"
PWM,"Portland, ME: Portland International Jetport"
RAP,"Rapid City, SD: Rapid City Regional"
RDD,"Redding, CA: Redding Municipal"
RDM,"Bend/Redmond, OR: Roberts Field"
RDU,"Raleigh/Durham, NC: Raleigh-Durham International"
RFD,"Rockford, IL: Chicago/Rockford International"
RHI,"Rhinelander, WI: Rhinelander/Oneida County"
RIC,"Richmond, VA: Richmond International"
RKS,"Rock Springs, WY: Southwest Wyoming Regional"
RNO,"Reno, NV: Reno/Tahoe International"
ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field"
ROC,"Rochester, NY: Greater Rochester International"
ROW,"Roswell, NM: Roswell International Air Center"
RST,"Rochester, MN: Rochester International"
RSW,"Fort Myers, FL: Southwest Florida International"
SAF,"Santa Fe, NM: Santa Fe Municipal"
SAN,"San Diego, CA: San Diego International"
SAT,"San Antonio, TX: San Antonio International"
SAV,"Savannah, GA: Savannah/Hilton Head International"
SBA,"Santa Barbara, CA: Santa Barbara Municipal"
SBN,"South Bend, IN: South Bend International"
SBP,"San Luis Obispo, CA: San Luis County Regional"
SCC,"Deadhorse, AK: Deadhorse Airport"
SCE,"State College, PA: University Park"
SCK,"Stockton, CA: Stockton Metropolitan"
SDF,"Louisville, KY: Louisville Muhammad Ali International"
SEA,"Seattle, WA: Seattle/Tacoma International"
SFB,"Sanford, FL: Orlando Sanford International"
SFO,"San Francisco, CA: San Francisco International"
SGF,"Springfield, MO: Springfield-Branson National"
SGU,"St. George, UT: St George Regional"
SHD,"Staunton, VA: Shenandoah Valley Regional"
SHV,"Shreveport, LA: Shreveport Regional"
SIT,"Sitka, AK: Sitka Rocky Gutierrez"
SJC,"San Jose, CA: Norman Y. Mineta San Jose International"
SJT,"San Angelo, TX: San Angelo Regional/Mathis Field"
SJU,"San Juan, PR: Luis Munoz Marin International"
SLC,"Salt Lake City, UT: Salt Lake City International"
SLN,"Salina, KS: Salina Regional"
SMF,"Sacramento, CA: Sacramento International"
SMX,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field"
SNA,"Santa Ana, CA: John Wayne Airport-Orange County"
SPI,"Springfield, IL: Abraham Lincoln Capital"
SPN,"Saipan, TT: Francisco C. Ada Saipan International"
SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal"
SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International"
STC,"St. Cloud, MN: St. Cloud Regional"
STL,"St. Louis, MO: St Louis Lambert International"
STS,"Santa Rosa, CA: Charles M. Schulz - Sonoma County"
STT,"Charlotte Amalie, VI: Cyril E King"
STX,"Christiansted, VI: Henry E. Rohlsen"
SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial"
SUX,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field"
SWF,"Newburgh/Poughkeepsie, NY: New York Stewart International"
SWO,"Stillwater, OK: Stillwater Regional"
SYR,"Syracuse, NY: Syracuse Hancock International"
TLH,"Tallahassee, FL: Tallahassee International"
TOL,"Toledo, OH: Toledo Express"
TPA,"Tampa, FL: Tampa International"
TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities"
TTN,"Trenton, NJ: Trenton Mercer"
TUL,"Tulsa, OK: Tulsa International"
TUS,"Tucson, AZ: Tucson International"
TVC,"Traverse City, MI: Cherry Capital"
TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional"
TXK,"Texarkana, AR: Texarkana Regional-Webb Field"
TYR,"Tyler, TX: Tyler Pounds Regional"
TYS,"Knoxville, TN: McGhee Tyson"
UIN,"Quincy, IL: Quincy Regional-Baldwin Field"
USA,"CONCORD, NC: Concord Padgett Regional"
VEL,"Vernal, UT: Vernal Regional"
VLD,"Valdosta, GA: Valdosta Regional"
VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach"
WRG,"Wrangell, AK: Wrangell Airport"
WYS,"West Yellowstone, MT: Yellowstone"
XNA,"Fayetteville, AR: Northwest Arkansas Regional"
YAK,"Yakutat, AK: Yakutat Airport"
YNG,"Youngstown/Warren, OH: Youngstown-Warren Regional"
YUM,"Yuma, AZ: Yuma MCAS/Yuma International"
